TransferID,PlayerID,ToTeamID,FromTeamID,TransferDate,TransferFee,ContractDuration
1,1,1,3,1/15/2022,5200000,3
2,3,1,2,12/10/2021,2200000,4
3,6,1,4,7/5/2023,30000000,3
4,9,1,5,8/25/2022,26000000,4
5,12,1,6,9/15/2021,11000000,5
6,15,1,7,3/10/2022,35000000,6
7,18,1,8,2/20/2023,40000000,4
8,21,2,9,7/30/2022,18000000,5
9,23,2,10,1/5/2023,29000000,4
10,25,2,11,11/25/2021,15000000,3
11,28,2,12,10/5/2022,21000000,5
12,30,2,13,4/15/2023,17000000,6
13,33,2,14,6/10/2021,22000000,4
14,36,2,15,9/20/2022,41000000,5
15,39,2,16,3/25/2023,35000000,3
16,41,3,17,5/5/2022,37000000,6
17,44,3,18,8/15/2023,22000000,4
18,47,3,19,7/20/2021,15000000,3
19,49,3,20,11/10/2022,43000000,5
20,50,3,1,4/30/2023,27000000,4
21,5,1,2,1/18/2023,16000000,3
22,7,1,3,5/22/2022,23000000,4
23,8,1,4,11/29/2021,43000000,6
24,10,1,5,3/14/2023,50000000,2
25,13,1,6,12/10/2022,12000000,4
26,16,1,7,7/25/2023,8000000,5
27,17,1,8,4/1/2021,11000000,3
28,20,1,9,6/19/2023,24000000,4
29,22,2,10,9/17/2021,49000000,5
30,26,2,11,8/26/2022,41000000,6
31,29,2,12,2/3/2023,26000000,4
32,32,2,13,4/21/2022,34000000,3
33,34,2,14,5/30/2023,10000000,5
34,35,2,15,6/22/2021,16000000,3
35,37,2,16,10/15/2022,35000000,6
36,40,2,17,1/29/2023,42000000,4
37,42,3,18,7/11/2021,18000000,5
38,43,3,19,11/7/2022,32000000,6
39,45,3,20,9/15/2023,18000000,4
40,48,3,1,8/18/2022,50000000,3
41,50,3,2,4/12/2023,16000000,5
42,38,2,5,6/10/2023,31000000,4
43,21,2,6,11/18/2021,30000000,5
44,23,2,8,1/23/2023,38000000,4
45,24,2,7,2/17/2023,6000000,3
46,31,2,9,3/5/2023,28000000,6
47,27,2,10,12/20/2022,16000000,4
48,33,2,11,6/18/2023,13000000,3
49,44,3,12,5/25/2023,23000000,5
50,41,3,13,4/30/2023,35000000,4
51,46,3,14,2/16/2023,46000000,6
52,39,2,15,3/21/2023,9000000,89
53,25,2,16,5/12/2023,19000000,5
54,28,2,17,6/29/2023,22000000,4
55,30,2,18,9/18/2022,34000000,6
56,12,1,19,1/10/2023,9000000,3
57,14,1,20,11/11/2022,47000000,5
58,9,1,3,6/14/2023,25000000,4
59,6,1,4,4/28/2023,27000000,6
60,11,1,5,3/26/2023,26000000,3
61,26,2,6,7/4/2023,41000000,4
62,42,3,1,7/11/2023,18000000,5
63,45,3,12,7/18/2023,18000000,4
64,40,2,14,7/25/2023,42000000,5
65,13,1,7,8/1/2023,12000000,3
66,20,1,9,8/8/2023,24000000,6
67,47,3,15,8/15/2023,15000000,4
68,29,2,11,8/22/2023,26000000,5
69,48,3,4,8/29/2023,50000000,4
70,37,2,5,9/5/2023,35000000,3
71,49,3,10,9/12/2023,47000000,6
72,43,3,17,9/19/2023,32000000,5
73,22,2,20,9/26/2023,49000000,4
74,36,2,19,10/3/2023,50000000,6
75,34,2,16,10/10/2023,10000000,5
76,4,1,8,10/17/2023,16000000,3
77,31,2,6,10/24/2023,28000000,4
78,35,2,3,10/31/2023,16000000,5
79,16,1,18,11/7/2023,8000000,6
80,19,1,13,11/14/2023,9000000,4
